Project Name,Package Name,Type Name,Method Name,Code Smell
codellama_correct,(default package),BufferConsumer,main,Magic Number
codellama_correct,(default package),BufferConsumer,main,Magic Number
codellama_correct,(default package),BufferConsumer,main,Magic Number
codellama_correct,(default package),Main,main,Long Statement
codellama_correct,(default package),Main,main,Magic Number
codellama_correct,(default package),Main,main,Magic Number
codellama_correct,(default package),Main,main,Magic Number
codellama_correct,(default package),Main,main,Magic Number
codellama_correct,(default package),Main,main,Magic Number
codellama_correct,(default package),Main,main,Magic Number
codellama_correct,(default package),Main,main,Magic Number
codellama_correct,(default package),Main,main,Magic Number
codellama_correct,(default package),StatsItem,computeStatsData,Magic Number
codellama_correct,(default package),StatsItem,init,Long Statement
codellama_correct,(default package),StatsItem,init,Magic Number
codellama_correct,(default package),StatsItem,init,Magic Number
codellama_correct,(default package),StatsItem,init,Magic Number
codellama_correct,(default package),StatsItem,init,Magic Number
codellama_correct,(default package),StatsItem,init,Magic Number
codellama_correct,(default package),StatsItem,init,Magic Number
codellama_correct,(default package),StatsItem,init,Magic Number
codellama_correct,(default package),StatsItem,init,Magic Number
codellama_correct,(default package),StatsItem,init,Magic Number
codellama_correct,(default package),StatsItem,init,Magic Number
codellama_correct,(default package),StatsItem,init,Magic Number
codellama_correct,(default package),StatsItem,samplingInSeconds,Magic Number
codellama_correct,(default package),StatsItem,samplingInMinutes,Magic Number
codellama_correct,(default package),StatsItem,samplingInHour,Magic Number
codellama_correct,(default package),StatsItem,printAtMinutes,Long Statement
codellama_correct,(default package),StatsItem,printAtHour,Long Statement
codellama_correct,(default package),StatsItem,printAtDay,Long Statement
codellama_correct,(default package),DefaultHaConnection,DefaultHaConnection,Magic Number
codellama_correct,(default package),DefaultHaConnection,DefaultHaConnection,Magic Number
codellama_correct,(default package),DefaultHaConnection,DefaultHaConnection,Magic Number
codellama_correct,(default package),DefaultHaConnection,DefaultHaConnection,Magic Number
codellama_correct,(default package),DefaultHaConnection,run,Complex Method
